,Postal_Code,Latitude,Longitude,Admin_Code3,Nearest_Centroid_ID,Distance_to_Centroid
9269,27675,42.7598,-7.1016,27037,2703701001,1699.7283921042529
9270,24007,42.6,-5.5703,24089,2408904007,79.47287263691132
9271,10460,40.1216,-5.6045,10110,1011001002,1019.8330188449543
9275,25566,42.3594,1.0808,25208,2520801001,5709.560248011759
9276,15113,43.3154,-8.8395,15043,1504301003,524.9743181763544
9278,41370,38.0,-5.8833,41032,4103202002,7581.491693648755
9279,8784,41.5223,1.7508,08161,816101003,283.0086959987711
9280,18518,37.2271,-3.1332,18005,1800501001,943.1674047378132
9281,10410,40.0528,-5.8511,10022,1002201001,1787.044930344068
9283,22132,42.0256,-0.0866,22050,2205001001,1366.925035662303
9285,33111,43.1799,-6.103,33072,3307201001,4396.784811004352
9289,36636,42.4687,-8.2733,36046,3604601002,38643.42900781955
9295,30005,37.987,-1.13,30030,3003002019,131.2352638384272
9297,3679,38.3772,-0.6894,03088,308801005,977.802725816106
9300,19129,40.5867,-2.6444,19019,1901901001,621.655428588125
9301,5143,40.679,-5.0062,05252,525201001,1418.3919782461817
9302,9640,42.1491,-3.4667,09078,907801001,11108.202446115863
9303,39200,42.9818,-4.1493,39027,3902701003,330.52031717915617
9304,39350,43.4153,-4.0425,39085,3908501001,845.5907565724564
9305,33874,43.3764,-6.4621,33034,3303405001,12053.410676534668
9307,15256,42.9403,-8.9719,15045,1504501001,2838.4869903077392
9308,12431,39.9167,-0.6833,12114,1211401001,1378.6696182903456
9309,24721,42.3318,-6.1985,24044,2404401001,4376.048734873252
9311,36581,42.7433,-8.5033,36059,3605903001,18627.210445013276
9312,32452,42.3525,-8.0236,32065,3206501001,2271.3159968241907
9314,15913,42.7426,-8.6542,15074,1507401001,4376.25943460409
9316,14740,38.3,-5.0167,14036,1403602002,46211.52012108223
9318,33716,43.5547,-6.7548,33018,3301802002,1094.7615920120143
9320,28560,40.2542,-3.2357,28035,2803501001,876.566627230185
9324,24170,42.6904,-4.985,24052,2405201001,7422.6820203346215
9325,24240,42.3551,-5.7515,24157,2415701002,751.6702633843728
9327,36654,42.6299,-8.627,36005,3600502002,1337.7281769813862
9328,31395,42.6132,-1.5985,31045,3104501001,5957.572903809503
9329,33127,43.5026,-6.0754,33051,3305101003,1650.4064366358446
9330,37129,40.9754,-5.7631,37142,3714201001,6799.769311309293
9331,10511,39.6033,-7.1956,10046,1004601001,2440.7812295124577
9332,38310,28.3667,-16.4833,38026,3802606002,1103.8182502654236
9333,33877,43.4234,-6.3664,33073,3307301001,6613.7131541332865
9336,40142,40.8792,-4.3466,40111,4011101001,1836.6529855323304
9337,17867,42.3333,2.3833,17039,1703901001,2633.346176545037
9338,20212,43.0357,-2.216,20058,2005801001,1481.3547551227723
9339,32901,42.2835,-7.8079,32075,3207501003,880.1422038945071
9340,32430,42.3239,-8.0405,32022,3202201001,3863.2025448780328
9341,25282,42.1333,1.6,25193,2519301001,968.9709268416321
9342,33568,43.4449,-5.0321,33056,3305601003,1140.9646736592954
9343,38615,28.1393,-16.6615,38001,3800101018,4348.366955152493
9344,22585,42.1284,0.6156,22112,2211201007,66418.8262296447
9345,49419,41.2304,-5.3255,49040,4904001001,282.0441538472137
9346,32103,42.3667,-7.85,32054,3205405012,775.7492092113149
9349,47418,41.244,-4.6474,47002,4700201001,5673.233709559187
9351,13391,38.7531,-3.1341,13008,1300801001,1026.1380478996207
9354,39694,43.3085,-3.8368,39074,3907401001,1254.8671778572957
9356,39232,42.8705,-3.9182,09011,901101001,6325.18434593326
