POI,Lon,Lat,Address
metro,2.20835,41.451604,"Plaça de la Vila, 5, 08921 Santa Coloma de Gramenet, Spain"
metro,2.207416,41.451058,"Passeig de Llorenç Serra, 6, 08921 Santa Coloma de Gramenet, Spain"
metro,2.207161,41.451444,"Carrer de Francesc Vinyes, 08921 Santa Coloma de Gramenet, Spain"
metro,2.129976,41.369557,"Carrer de la Riera Blanca, 08903 l'Hospitalet de Llobregat, Spain"
metro,2.129175,41.369127,"Carrer de Santiago Ramón y Cajal, 08903 l'Hospitalet de Llobregat, Spain"
metro,2.128698,41.368443,"Carrer de Santiago Ramón y Cajal, 08903 l'Hospitalet de Llobregat, Spain"
metro,2.190501,41.442298,"Carrer de Palomar, 08030 Barcelona, Spain"
metro,2.19087,41.442305,"Passeig de Torras i Bages, 08030 Barcelona, Spain"
metro,2.190338,41.444154,"Passeig de Torras i Bages, 2, 08030 Barcelona, Spain"
metro,2.190709,41.444183,"Passeig de Torras i Bages, 08030 Barcelona, Spain"
metro,2.190665,41.443807,"Passeig de Torras i Bages, 08030 Barcelona, Spain"
metro,2.11649,41.368742,"Avinguda del Torrent Gornal, 08904 l'Hospitalet de Llobregat, Spain"
metro,2.11727,41.368154,"Carrer del Pintor Sorolla, 08904 l'Hospitalet de Llobregat, Spain"
metro,2.117108,41.368594,"706 METRO L1 La Torrassa, Carrer del Montseny, 08904 l'Hospitalet de Llobregat, Spain"
metro,2.194356,41.448967,"Ronda de Dalt – Nus de la Trinitat, 08033 Barcelona, Spain"
metro,2.194384,41.449539,"Ronda de Dalt – Nus de la Trinitat, 08033 Barcelona, Spain"
metro,2.164719,41.385814,"Plaça de la Universitat, 10-9, 08007 Barcelona, Spain"
metro,2.163474,41.385403,"Plaça de la Universitat, 08007 Barcelona, Spain"
metro,2.164571,41.386145,"Gran Via de les Corts Catalanes, 08007 Barcelona, Spain"
metro,2.164163,41.385551,"Plaça de la Universitat, 08007 Barcelona, Spain"
metro,2.159849,41.382668,"Can Bargalló, Gran Via de les Corts Catalanes, 540, 542, 08011 Barcelona, Spain"
metro,2.159449,41.382955,"Gran Via de les Corts Catalanes, 08011 Barcelona, Spain"
metro,2.158237,41.382056,"Gran Via de les Corts Catalanes, 08011 Barcelona, Spain"
metro,2.158998,41.382457,"Gran Via de les Corts Catalanes (lateral mar), 08011 Barcelona, Spain"
metro,2.175019,41.390021,"Ronda de Sant Pere, 08010 Barcelona, Spain"
metro,2.174004,41.389109,"Carrer de Trafalgar, 08010 Barcelona, Spain"
metro,2.173372,41.389401,"Plaça d'Urquinaona, 08010 Barcelona, Spain"
metro,2.17309,41.38952,"The George Payne, Plaça d'Urquinaona, 5, 08010 Barcelona, Spain"
metro,2.234241,41.440358,"METRO Gorg, Avinguda del Marquès de Mont-roig, 08910 Badalona, Spain"
metro,2.224024,41.442346,"Avinguda del Marquès de Sant Mori, 08914 Badalona, Spain"
metro,2.217243,41.441476,"Escoles Maria Ward, Carrer de Gravina, 1, 08913 Badalona, Spain"
metro,2.171017,41.462556,"Urbanització Santelvira, 10, 08110 Montcada i Reixac, Spain"
metro,2.17214,41.46292,"Carrer de la Circumvalació, 08033 Montcada i Reixac, Spain"
metro,2.171578,41.462738,"Urbanització Santelvira, 6, 08110 Montcada i Reixac, Spain"
metro,2.185391,41.451492,"Pas d'Antonio Cuadrillero, 08033 Barcelona, Spain"
metro,2.174473,41.460889,"Carrer del Pedraforca, 08033 Barcelona, Spain"
metro,2.18058,41.459194,"Avinguda d'Escolapi Càncer, 08033 Barcelona, Spain"
metro,2.17912,41.459624,"Institut Pablo Ruiz Picaso, Carrer de Sant Feliu de Codines, 08033 Barcelona, Spain"
metro,2.17985,41.459409,"Institut Pablo Ruiz Picaso, Carrer de Sant Feliu de Codines, 08033 Barcelona, Spain"
metro,2.205987,41.423471,"Rambla Guipúscoa / Ca n'Oliva, Rambla de Guipúscoa, 08020 Barcelona, Spain"
metro,2.217241,41.433816,"Ali Baba, Avinguda d'Alfons XIII, 08913 Badalona, Spain"
metro,2.217371,41.433504,"Avinguda d'Alfons XIII, 567, 08918 Badalona, Spain"
metro,2.216803,41.433879,"Carretera de Santa Coloma, 6, 08913 Badalona, Spain"
metro,2.196179,41.415594,"Rambla de Guipúscoa, 08020 Barcelona, Spain"
metro,2.195092,41.414799,"Rambla de Guipúscoa, 08020 Barcelona, Spain"
metro,2.195013,41.415283,"Rambla de Guipúscoa, 37, 08020 Barcelona, Spain"
metro,2.244209,41.449132,"Carrer d'Anselm Clavé, 08912 Badalona, Spain"
metro,2.186173,41.410117,"Carrer de Sibelius, 1, 08026 Barcelona, Spain"
metro,2.186554,41.4101,"Carrer de València, 08026 Barcelona, Spain"
metro,2.182802,41.407068,"Delas, Carrer de València, 554, 08026 Barcelona, Spain"
metro,2.182167,41.407271,"Amanecer, Carrer del Dos de Maig, 232, 08026 Barcelona, Spain"
metro,2.182557,41.407338,"Carrer de València, 553, 08026 Barcelona, Spain"
metro,2.23404,41.440639,"Avinguda del Marquès de Mont-roig, 08910 Badalona, Spain"
metro,2.234255,41.441113,"Plaça del President Tarradellas, 08910 Badalona, Spain"
metro,2.233988,41.44129,"Plaça del President Tarradellas, 08910 Badalona, Spain"
metro,2.206689,41.423827,"Rambla de Guipúscoa, 161, 08020 Barcelona, Spain"
metro,2.180022,41.400331,"Pizza Di Como, Carrer de la Diputació, 08013 Barcelona, Spain"
metro,2.179581,41.40018,"Carrer de la Marina, 189, 08013 Barcelona, Spain"
metro,2.180037,41.400087,"Carrer de la Diputació, 08013 Barcelona, Spain"
metro,2.168228,41.375231,"Avinguda del Paral·lel, 08001 Barcelona, Spain"
metro,2.167765,41.374796,"Avinguda del Paral·lel, 77, 08001 Barcelona, Spain"
metro,2.167579,41.375091,"Avinguda del Paral·lel, 08001 Barcelona, Spain"
metro,2.167762,41.389284,"Gran Via de les Corts Catalanes (lateral muntanya), 08007 Barcelona, Spain"
metro,2.168735,41.389295,"Passeig de Gràcia, 16, 08007 Barcelona, Spain"
metro,2.16833,41.389533,"Gran Via de les Corts Catalanes, 08007 Barcelona, Spain"
metro,2.23821,41.444591,"Plaça de la Tenora, 08912 Badalona, Spain"
metro,2.239146,41.445295,"Carrer de Saragossa, 2, 08912 Badalona, Spain"
metro,2.238942,41.444538,"Plaça dels Països Catalans, 08912 Badalona, Spain"
metro,2.238365,41.44515,"Avinguda d'Alfons XIII, 10-12, 08912 Badalona, Spain"
metro,2.175562,41.403847,"Carrer de Mallorca, 08013 Barcelona, Spain"
metro,2.176315,41.404257,"Carrer de Mallorca, 417, 08013 Barcelona, Spain"
metro,2.162901,41.37916,"Caixabank, Ronda de Sant Antoni, 08015 Barcelona, Spain"
metro,2.163172,41.380689,"Ronda de Sant Antoni, 17, 08011 Barcelona, Spain"
metro,2.163409,41.37899,"Multiopticas, Ronda de Sant Antoni, 2, 08015 Barcelona, Spain"
metro,2.163015,41.379953,"Carrer de Tamarit, 166, 08015 Barcelona, Spain"
metro,2.201262,41.419459,"Rambla de Guipúscoa, 08020 Barcelona, Spain"
metro,2.200095,41.418604,"Rambla de Guipúscoa, 08020 Barcelona, Spain"
metro,2.200601,41.419306,"Ibercaja, Rambla de Guipúscoa, 08020 Barcelona, Spain"
metro,2.228147,41.435342,"Avinguda del Marquès de Mont-roig, 08918 Badalona, Spain"
metro,2.228502,41.435868,"Avinguda del Marquès de Mont-roig, 200, 08918 Badalona, Spain"
metro,2.227784,41.435516,"Avinguda del Marquès de Mont-roig, 208, 08918 Badalona, Spain"
metro,2.175485,41.394285,"Plaça de Tetuan, 7, 08010 Barcelona, Spain"
metro,2.174676,41.394956,"Bracafé, Plaça de Tetuan, 17-18, 08010 Barcelona, Spain"
metro,2.174591,41.394624,"Chong Qing, Plaça de Tetuan, 14, 08010 Barcelona, Spain"
metro,2.163699,41.385021,"Plaça de la Universitat, 4, 08011 Barcelona, Spain"
