POI,Lon,Lat,Address
street_Blasco,-0.3483823,39.4742415,"Avinguda de Blasco Ibáñez, 46021 Valencia, Spain"
street_Blasco,-0.3495625,39.4745562,"Avinguda de Blasco Ibáñez, 46021 Valencia, Spain"
street_Blasco,-0.3507856,39.4749702,"Avinguda de Blasco Ibáñez, 46021 Valencia, Spain"
street_Blasco,-0.3518155,39.4753015,"Avinguda de Blasco Ibáñez, 46021 Valencia, Spain"
street_Blasco,-0.3528455,39.4755168,"Avinguda de Blasco Ibáñez, 46021 Valencia, Spain"
street_Blasco,-0.3541544,39.4759972,"Avinguda de Blasco Ibáñez, 46021 Valencia, Spain"
street_Blasco,-0.3549913,39.4762622,"Avinguda de Blasco Ibáñez, 46021 Valencia, Spain"
street_Blasco,-0.3560427,39.4764775,"Plaça del Cardenal Vicent Enrique i Tarancón, 46021 Valencia, Spain"
street_Blasco,-0.3569868,39.4768087,"Avinguda de Blasco Ibáñez, 43020 Valencia, Spain"
street_Blasco,-0.3583387,39.47714,"Avinguda de Blasco Ibáñez, 43020 Valencia, Spain"
street_Blasco,-0.3593901,39.4775044,"Avinguda de Blasco Ibáñez, 43020 Valencia, Spain"
street_Blasco,-0.3606561,39.4777859,"Avinguda de Blasco Ibáñez, 43020 Valencia, Spain"
street_Blasco,-0.3613856,39.4780675,"Avinguda de Blasco Ibáñez, 43020 Valencia, Spain"
street_Blasco,-0.3626302,39.4782331,"Avinguda de Blasco Ibáñez, 46010 Valencia, Spain"
street_Blasco,-0.3637031,39.4785809,"Avinguda de Blasco Ibáñez, 46010 Valencia, Spain"
street_Blasco,-0.3648832,39.4788791,"Avinguda de Blasco Ibáñez, 46010 Valencia, Spain"
street_Blasco,-0.3660205,39.4792931,"Avinguda de Blasco Ibáñez, 46010 Valencia, Spain"
